evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201505151409,-75.19,-107.54,2015-05-15T14:09:26.000000Z,0.80,3.91,2.55,2015-05-15T14:09:28.000000Z,-75.09,-107.88,B,False,False,162.00,274764890126.57
201507220611,-75.47,-99.06,2015-07-22T06:11:28.000000Z,0.80,6.63,2.17,2015-07-22T06:11:38.000000Z,-75.62,-99.16,B,False,False,-50.00,152143618638.88
201507221740,-75.34,-99.89,2015-07-22T17:40:36.000000Z,0.74,6.59,2.10,2015-07-22T17:40:24.000000Z,-74.73,-98.62,B,False,False,,
201507241419,-73.30,-87.18,2015-07-24T14:19:20.000000Z,0.85,2.83,2.26,2015-07-24T14:19:16.000000Z,-73.07,-86.91,B,False,False,-114.00,207375003502.45
201507311351,-75.34,-107.73,2015-07-31T13:51:52.000000Z,0.87,6.80,2.60,2015-07-31T13:51:50.000000Z,-75.09,-107.88,A,False,False,22.00,279336360468.37
201509242046,-75.42,-108.49,2015-09-24T20:46:32.000000Z,0.83,6.64,2.38,2015-09-24T20:46:38.000000Z,-75.52,-108.43,A,False,False,32.00,189942599280.39
201509261308,-73.25,-86.87,2015-09-26T13:08:10.000000Z,0.76,2.78,2.02,2015-09-26T13:08:12.000000Z,-73.07,-86.91,B,False,False,,
201510192104,-75.29,-108.89,2015-10-19T21:04:17.000000Z,0.85,6.90,2.37,2015-10-19T21:04:18.000000Z,-75.09,-107.88,A,False,False,30.00,211055590128.24
201510220747,-75.23,-107.59,2015-10-22T07:47:26.000000Z,0.86,6.51,2.55,2015-10-22T07:47:26.000000Z,-75.09,-107.88,A,False,False,16.00,472993586567.87
201510230907,-75.22,-108.60,2015-10-23T09:07:14.000000Z,0.82,6.58,2.29,2015-10-23T09:07:16.000000Z,-75.09,-107.88,A,False,False,-164.00,240304895566.60
201510252006,-75.48,-107.81,2015-10-25T20:06:46.000000Z,0.77,6.55,2.28,2015-10-25T20:06:42.000000Z,-75.09,-107.88,B,False,False,-102.00,202447255793.63
201510280249,-75.62,-107.80,2015-10-28T02:50:05.000000Z,0.76,7.58,2.20,2015-10-28T02:49:56.000000Z,-75.09,-107.88,B,False,False,-150.00,215746835078.51
201510290414,-75.51,-107.95,2015-10-29T04:14:37.000000Z,0.82,7.34,2.26,2015-10-29T04:14:30.000000Z,-75.09,-107.88,A,False,False,-162.00,241133335272.28
201510291744,-75.26,-108.46,2015-10-29T17:44:20.000000Z,0.80,6.65,2.24,2015-10-29T17:44:20.000000Z,-75.09,-107.88,A,False,False,28.00,178621466321.25
201511121934,-74.47,-137.92,2015-11-12T19:34:10.000000Z,0.82,2.19,2.84,2015-11-12T19:34:14.000000Z,-74.46,-137.39,B,False,False,-12.00,347634715973.16
201512160619,-75.39,-106.56,2015-12-16T06:19:17.000000Z,0.84,6.10,2.39,2015-12-16T06:19:18.000000Z,-75.22,-106.19,B,False,True,-176.00,310843093337.48
201512280546,-75.44,-102.07,2015-12-28T05:46:14.000000Z,0.81,5.04,2.51,2015-12-28T05:46:18.000000Z,-75.45,-102.72,B,False,False,120.00,429781773139.38
201601030457,-75.45,-102.35,2016-01-03T04:57:45.000000Z,0.84,6.78,2.69,2016-01-03T04:57:50.000000Z,-75.45,-102.72,A,False,False,-62.00,729847635913.32
201601101923,-75.46,-102.18,2016-01-10T19:23:27.000000Z,0.78,6.80,2.32,2016-01-10T19:23:30.000000Z,-75.45,-102.72,A,False,False,88.00,353394437730.99
201601170202,-75.45,-101.98,2016-01-17T02:01:56.000000Z,0.83,6.77,2.61,2016-01-17T02:02:04.000000Z,-75.54,-100.95,A,False,False,-46.00,604547584186.34
201601221609,-75.38,-105.99,2016-01-22T16:09:48.000000Z,0.88,6.79,2.66,2016-01-22T16:09:48.000000Z,-75.22,-106.19,A,False,False,-24.00,787953258735.75
201601250857,-75.50,-106.23,2016-01-25T08:57:13.000000Z,0.82,4.18,2.61,2016-01-25T08:57:20.000000Z,-75.66,-106.70,B,False,False,-72.00,592060768243.15
201601280857,-75.35,-106.34,2016-01-28T08:57:03.000000Z,0.80,6.75,2.78,2016-01-28T08:57:04.000000Z,-75.22,-106.19,A,False,False,-42.00,1052342400577.17
201602030145,-75.58,-105.56,2016-02-03T01:46:18.000000Z,0.72,8.71,2.56,2016-02-03T01:45:50.000000Z,-74.66,-107.35,B,False,False,-30.00,699442254374.12
201602110857,-75.40,-106.02,2016-02-11T08:57:00.000000Z,0.81,8.15,2.74,2016-02-11T08:57:00.000000Z,-75.22,-106.19,A,False,True,-24.00,1370237115865.65
